Decade	Year of Release Date	Title	Genres	Poster Path	Number of Records	Revenue
1950	1955	Marty	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/ml29uk3ROm8rgaXfsMvp96z0C6G.jpg	1	3,000,000
1950	1955	Pather Panchali	[{'id': 18, 'name': 'Drama'}]	/frZj5djlU9hFEjMcL21RJZVuG5O.jpg	1	536,364
1950	1955	Rififi	[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]	/riZ2SXhTgllN6NWrPOJCtN4NrhG.jpg	1	460,226
1950	1955	The Fast and the Furious	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]	/twWJWolTI0UN1DxsmK6pnf14E5D.jpg	1	250,000
1950	1955	The Trouble with Harry	[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	/tXq2vB69rv6uqqkyiqfxci0TMgZ.jpg	1	7,000,000
1950	1955	To Catch a Thief	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]	/wizxvCHhWTpJXxRew6FGPGFWTVl.jpg	1	8,750,000
1950	1956	Aparajito	[{'id': 18, 'name': 'Drama'}]	/9sMmihRqqeM6abnINWuxkX4Olpo.jpg	1	170,215
1950	1956	Around the World in Eighty Days	[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]	/2vLu9eVefJ6WK3OJnlLQQE4lSw5.jpg	1	42,000,000
1950	1956	Forbidden Planet	[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]	/qdH1Fm5vl1DAjXNHPmRZ4yEiUgM.jpg	1	3,250,000
1950	1956	Giant	[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]	/1zUkou93TZDY6T5N13to3sr8VZ8.jpg	1	35,000,000
1950	1956	Love Me Tender	[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]	/fkOY0vzxrR2iBXxngp8sAtQw2VU.jpg	1	9,000,000
1950	1956	Moby Dick	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]	/C2OklD5ELtFZ16AlcGXQWzIUKR.jpg	1	10,400,000
1950	1956	Somebody Up There Likes Me	[{'id': 18, 'name': 'Drama'}]	/kKB0luk93YHcacj1kgsqxSU608G.jpg	1	3,360,000
1950	1956	The King and I	[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]	/jyAMSLdJymJ9xObCfZFXZFGFz8m.jpg	1	21,300,000
1950	1956	The Man Who Knew Too Much	[{'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	/vhUOukoJTWPfVpZOiKwrjdEV4OX.jpg	1	10,250,000
1950	1956	The Ten Commandments	[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	/loLrO3SfhHkN3o3fTHdx1vf9ZYf.jpg	1	122,700,000
1950	1956	The Wrong Man	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]	/o3L64eO7RegwjTFlp5a872aZvjq.jpg	1	2,000,000
1950	1956	Trapeze	[{'id': 18, 'name': 'Drama'}]	/tAExVSQUlby56ATBlMnA2BrbA25.jpg	1	14,400,000
1950	1956	War and Peace	[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]	/rqcAznFsRtygOUWGGvWOCrmLT4t.jpg	1	12,500,000
1950	1957	12 Angry Men	[{'id': 18, 'name': 'Drama'}]	/3W0v956XxSG5xgm7LB6qu8ExYJ2.jpg	1	1,000,000
1950	1957	Gunfight at the O.K. Corral	[{'id': 37, 'name': 'Western'}]	/oJEGtvIITaMjohLxW1uIjV9uVRx.jpg	1	11,750,000
1950	1957	I Was a Teenage Werewolf	[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]	/pazF4fBJM1VPXeMkhAGNjso1ZWd.jpg	1	2,000,000
1950	1957	Legend of the Lost	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]	/3SIcFeARS3BgyOkGRJarKuVtjP0.jpg	1	2,200,000
1950	1957	Nights of Cabiria	[{'id': 18, 'name': 'Drama'}]	/xF4oCG3PLNbcrtPZbqB3BtkIbKg.jpg	1	752,045
1950	1957	The Bridge on the River Kwai	[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]	/vtPR6tSHeu35rF6qTDw3Yjr9eDg.jpg	1	27,200,000
1950	1957	Witness for the Prosecution	[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]	/heY0CCUqN4DY3X30thssZkvWZwx.jpg	1	9,000,000
1950	1958	Attack of the 50 Foot Woman	[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]	/9MgBNBqlH1sG4yG2u4XkwI5CoJa.jpg	1	480,000
1950	1958	Cat on a Hot Tin Roof	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/2ILe9TXCB4bOcVwsV6cUChir0SR.jpg	1	17,570,324
1950	1958	Elevator to the Gallows	[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]	/gwPV0aXkNyb33BcLTbYH6b1bxya.jpg	1	263,404
1950	1958	Macabre	[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]	/x9cP5CDHt4Rko68cCrRQihYurYp.jpg	1	5,000,000
1950	1958	South Pacific	[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]	/2LMfkNvFtfkkCC98AMORmZUxQpJ.jpg	1	36,800,000
1950	1958	The Fly	[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]	/jA6GYQDuR0RV99sWcjCzz8gcbHB.jpg	1	3,000,000
1950	1958	Touch of Evil	[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]	/4fkBpBB461nZhee5vb8uVsiBAQM.jpg	1	2,247,465
1950	1958	Vertigo	[{'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]	/obhM86qyv8RsE69XSMTtT9FdE0b.jpg	1	28,000,000
1950	1959	Ben-Hur	[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	/syPMBvvZsADTTRu3UKuxO1Wflq.jpg	1	146,900,000
1950	1959	Journey to the Center of the Earth	[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]	/4rSP91Gonskgq29AuJ1Xn3RIQAK.jpg	1	10,000,000
1950	1959	North by Northwest	[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	/aNV789h3oHm2pTHK5Bdq5RuiumZ.jpg	1	13,275,000
1950	1959	Operation Petticoat	[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/emhiXStVB3HoE2MtYVRzTNOgOMn.jpg	1	6,800,000
1950	1959	Rio Bravo	[{'id': 37, 'name': 'Western'}]	/x0XFYNOAPROkYaYG8CeS75BJXxC.jpg	1	5,800,000
1950	1959	Sleeping Beauty	[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]	/iFJGafuB2f2IJWG2EmdtUpgfAn6.jpg	1	51,000,000
1950	1959	Solomon and Sheba	[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]	/dDDSs4DSVBTG5s452w5IMZpZYHb.jpg	1	12,200,000
1950	1959	Some Like It Hot	[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/pxc9EFCMYkItESpqqrI783yl8Gh.jpg	1	25,000,000
1950	1959	The Nun's Story	[{'id': 18, 'name': 'Drama'}]	/i0qzJwBnIl86yji9QmqQxFPkIBk.jpg	1	12,800,000
1950	1959	The World of Apu	[{'id': 18, 'name': 'Drama'}]	/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg	1	16,000
1960	1960	Cinderfella	[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/27d8hTPQuiaGMRdvnGGjfKjYhdC.jpg	1	7,100,000
1960	1960	Elmer Gantry	[{'id': 18, 'name': 'Drama'}]	/mYd2J9fw0kC0uVwwknGJnzudFHa.jpg	1	10,400,000
1960	1960	Exodus	[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]	/oqeplT0dVb9HBs59HSAIGyrVmSO.jpg	1	21,750,000
1960	1960	House of Usher	[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]	/d5mtkURuKuszmN4cXeyp1cxf11Y.jpg	1	1,450,000
1960	1960	La Dolce Vita	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]	/mZJ25Th65B2KXM57uIiEzO3Aw81.jpg	1	19,516,000
1960	1960	Never on Sunday	[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/iHXtTX8l9tfIqL7NsZ76Nfmj72r.jpg	1	8,000,000
1960	1960	Peeping Tom	[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]	/tJyGgOLDLDhJkUEI4wSoD4eO7n4.jpg	1	83,957
1960	1960	Psycho	[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]	/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg	1	32,000,000
1960	1960	Spartacus	[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	/hpICDCTdMIpcqEeNa0k3rcedw2B.jpg	1	60,000,000
1960	1960	The Alamo	[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}]	/qx5tRhWmDEpc28BXSkgreoKzqbi.jpg	1	7,900,000
